Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.SBT_9577, 0.2502886, 0.1201606, 0.2502886, 0.1201606, 0, 0
Line.SBT_23993, 35.17267, 18.04421, 35.17267, 18.04421, 0, 0
Line.SBT_23994, 11.17158, 5.727204, 11.17158, 5.727204, 0, 0
Line.SBT_23998, 0.9679893, 0.4939454, 0.9679893, 0.4939454, 0, 0
Line.SBT_24001, 0.04010915, 0.01413101, 0.04010915, 0.01413101, 0, 0
Line.SBT_24002, 6.992554E-010, -0.004673294, 6.992554E-010, -0.004673294, 0, 0
Line.SBT_24003, 7.375297, 3.776179, 7.375297, 3.776179, 0, 0
Line.SBT_24004, 1.601465, 0.8172197, 1.601465, 0.8172197, 0, 0
Line.SBT_23982, 2.36515, 1.207123, 2.36515, 1.207123, 0, 0
Line.SBT_24110, 1.785125, 0.9117917, 1.785125, 0.9117917, 0, 0
Line.SBT_24111, 0.7541085, 0.382829, 0.7541085, 0.382829, 0, 0
Line.SBT_24112, 9.935027, 5.09125, 9.935027, 5.09125, 0, 0
Line.SBT_21453, 0.003495096, -0.00145154, 0.003495096, -0.00145154, 0, 0
Line.SBT_17855, 0.001923135, -0.005739707, 0.001923135, -0.005739707, 0, 0
Line.SBT_14875, 4.014356E-010, -0.003558525, 4.014356E-010, -0.003558525, 0, 0
Line.SBT_4823, 0.004052542, -0.01209598, 0.004052542, -0.01209598, 0, 0
Line.SBT_25806, 0.2414851, 0.1205715, 0.2414851, 0.1205715, 0, 0
Line.SBT_12858, 0.1662803, 0.08302449, 0.1662803, 0.08302449, 0, 0
Line.SBT_24010, 1.456437E-010, -0.001706149, 1.456437E-010, -0.001706149, 0, 0
Line.SBT_24011, 0.08408232, 0.03738705, 0.08408232, 0.03738705, 0, 0
Line.SBT_9623, 0.03739088, 0.01662418, 0.03739088, 0.01662418, 0, 0
Line.SBT_9591, 0.5908996, 0.1924586, 0.5908996, 0.1924586, 0, 0
